device_id,gender_id
B-52-41838,2
B-52-37297,2
B-52-7695,2
B-52-50559,2
B-52-45809,1
B-52-17727,
B-52-47766,1
B-52-49723,2
B-52-5320,1
B-52-49039,2
B-52-39862,1
B-52-26467,1
B-52-14554,2
B-52-17404,1
B-52-52155,2
B-52-29032,2
B-52-6669,1
B-52-26942,1
B-52-21147,1
B-52-41819,1
B-52-31464,2
B-52-6916,2
B-52-40337,2
B-52-21983,2
B-52-50711,2
B-52-38285,2
B-52-39957,1
B-52-8265,2
B-52-45372,2
B-52-38456,2
B-52-46132,2
B-52-3838,2
B-52-34751,
B-52-23541,2
B-52-34599,
B-52-23465,1
B-52-52459,2
B-52-13395,1
B-52-15105,1
B-52-18772,2
B-52-1824,1
B-52-31711,1
B-52-39083,2
B-52-2413,2
B-52-18335,2
B-52-40261,1
B-52-42826,1
B-52-46835,2
B-52-1672,2
B-52-43624,1
B-52-43510,1
B-52-2052,2
B-52-9899,
B-52-46265,1
B-52-7733,1
B-52-21128,2
B-52-18943,2
B-52-24624,2
B-52-11001,2
B-52-969,2
B-52-27341,1
B-52-20273,2
B-52-33041,1
B-52-48279,2
B-52-13205,1
B-52-23294,2
B-52-37335,2
B-52-13566,2
B-52-34846,1
B-52-41610,2
B-52-27930,1
B-52-20957,1
B-52-29659,1
B-52-4009,1
B-52-44232,1
B-52-10963,2
B-52-52079,2
B-52-44935,1
B-52-4978,2
B-52-43719,2
B-52-33345,2
B-52-30324,1
B-52-48013,2
B-52-50540,2
B-52-15067,1
B-52-20045,2
B-52-2375,1
B-52-17366,2
B-52-16720,1
B-52-21204,1
B-52-52497,1
B-52-8436,2
B-52-39273,1
B-52-33383,1
B-52-26980,2
B-52-32015,2
B-52-35264,2
B-52-40793,1
B-52-361,1
B-52-17575,2
B-52-19437,2
B-52-14079,1
B-52-15124,1
B-52-29621,
B-52-40603,2
B-52-2090,1
B-52-46816,2
B-52-7049,2
B-52-3857,2
B-52-52231,1
B-52-19950,2
B-52-46493,1
B-52-3325,1
B-52-10697,2
B-52-3192,2
B-52-24738,1
B-52-44821,2
B-52-25612,1
B-52-42617,2
B-52-40660,1
B-52-24909,1
B-52-1748,2
B-52-50920,2
B-52-47500,2
B-52-589,2
B-52-8360,2
B-52-6479,1
B-52-7980,2
B-52-7372,2
B-52-24111,2
B-52-18753,2
B-52-39026,1
B-52-48393,1
B-52-38722,2
B-52-44631,2
B-52-44593,2
B-52-5700,2
B-52-22325,
B-52-43301,2
B-52-23883,1
B-52-4123,2
B-52-19247,
B-52-41553,1
B-52-45923,2
B-52-48317,2
B-52-35929,2
B-52-266,2
B-52-52022,2
B-52-47481,1
B-52-41363,1
B-52-40394,1
B-52-38494,1
B-52-26429,2
B-52-49305,2
B-52-46987,2
B-52-3952,2
B-52-35169,1
B-52-44365,1
B-52-41382,1
B-52-45638,2
B-52-27797,2
B-52-17328,2
B-52-25365,2
B-52-18506,2
B-52-51395,1
B-52-36651,2
B-52-46930,2
B-52-13167,2
B-52-27854,
B-52-8284,2
B-52-37126,2
B-52-18582,1
B-52-49780,2
B-52-31673,2
B-52-11970,1
B-52-46227,2
B-52-14022,1
B-52-14668,2
B-52-36537,1
B-52-4199,1
